Subject,Start_Date,Start_Time,End_Date,End_Time,Location,All_Day_Event
21748 - Seguretat en Sistemes Informàtics / 01M01,22/11/2017,16:30,22/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,22/11/2017,15:30,22/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,21/11/2017,15:30,21/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,24/11/2017,11:30,24/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21726 - Base de Dades II / 01G,20/11/2017,15:30,20/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,24/11/2017,12:30,24/11/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,23/11/2017,12:30,23/11/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,20/11/2017,12:30,20/11/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,20/11/2017,11:30,20/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,23/11/2017,10:30,23/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,24/11/2017,10:30,24/11/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01X03,22/11/2017,10:30,22/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,22/11/2017,08:30,22/11/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,21/11/2017,08:30,21/11/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01M01,30/11/2017,16:30,30/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01X01,21/11/2017,09:30,21/11/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01M01,29/11/2017,16:30,29/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,01/12/2017,12:30,01/12/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,01/12/2017,10:30,01/12/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,30/11/2017,12:30,30/11/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,01/12/2017,11:30,01/12/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21726 - Base de Dades II / 01G,30/11/2017,15:30,30/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,28/11/2017,15:30,28/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01X03,29/11/2017,10:30,29/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01G,30/11/2017,10:30,30/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Dia oficial de la UIB,27/11/2017,,,,,True
21748 - Seguretat en Sistemes Informàtics / 01G,12/12/2017,15:30,12/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21726 - Base de Dades II / 01G,11/12/2017,15:30,11/12/2017,17:20,,False
21713 - Comunicacions de Dades i Xarxes / 01G,29/11/2017,08:30,29/11/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,28/11/2017,08:30,28/11/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01X01,28/11/2017,09:30,28/11/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,14/12/2017,12:30,14/12/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,15/12/2017,12:30,15/12/2017,14:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,15/12/2017,10:30,15/12/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01X01,11/12/2017,12:30,11/12/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01X01,12/12/2017,09:30,12/12/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,15/12/2017,11:30,15/12/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,11/12/2017,11:30,11/12/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21723 - Gestió de Projectes / 01G,14/12/2017,10:30,14/12/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01X03,13/12/2017,10:30,13/12/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,13/12/2017,08:30,13/12/2017,10:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21726 - Base de Dades II / 01G,13/11/2017,15:30,13/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Avaluació 21710 - Teoria de la Computació / 01G,17/11/2017,12:30,17/11/2017,14:20,,False
21722 - Intel·ligència Artificial / 01G,12/12/2017,08:30,12/12/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,13/11/2017,12:30,13/11/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,14/11/2017,15:30,14/11/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,15/11/2017,15:30,15/11/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,16/11/2017,12:30,16/11/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01G,17/11/2017,11:30,17/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21710 - Teoria de la Computació / 01G,13/11/2017,11:30,13/11/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
Avaluació 21713 - Comunicacions de Dades i Xarxes / 01G,15/11/2017,08:30,15/11/2017,10:20,,False
21723 - Gestió de Projectes / 01G,16/11/2017,10:30,16/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,15/11/2017,08:30,14/11/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01X03,15/11/2017,10:30,14/11/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01X01,14/11/2017,09:30,14/11/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21713 - Comunicacions de Dades i Xarxes / 01X02,17/11/2017,10:30,17/11/2017,11:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
Vacances de Nadal,23/12/2017,,05/01/2018,,,False
Lliurament 21710 - Teoria de la Computació / 01G,15/11/2017,,,,,True
21726 - Base de Dades II / 01G,07/12/2017,15:30,07/12/2017,16:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Vacances de Nadal,23/12/2017,,05/01/2018,,,False
21726 - Base de Dades II / 01G,04/12/2017,15:30,04/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21722 - Intel·ligència Artificial / 01G,05/12/2017,08:30,05/12/2017,09:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21748 - Seguretat en Sistemes Informàtics / 01G,05/12/2017,15:30,05/12/2017,17:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01G,04/12/2017,11:30,04/12/2017,12:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01G,07/12/2017,12:30,07/12/2017,14:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21710 - Teoria de la Computació / 01X01,04/12/2017,12:30,04/12/2017,13:20,Anselm Turmeda Aula A2. Planta baixa ala est,False
21722 - Intel·ligència Artificial / 01X01,05/12/2017,09:30,05/12/2017,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21723 - Gestió de Projectes / 01G,07/12/2017,10:30,07/12/2017,12:20,Anselm Turmeda Aula A8.Planta primera ala est,False
Dia de la Constitució,06/12/2017,,,,,True
Immaculada concepció,08/12/2017,,,,,True
Lliurament 21726 - Base de Dades II / 01G,08/12/2017,,,,,True
Període no lectiu,01/08/2018,,31/08/2018,,,False
Període no lectiu,01/08/2018,,31/08/2018,,,False
Assumpció de Maria,15/08/2018,,,,,True
Període no lectiu,01/08/2018,,31/08/2018,,,False
Període no lectiu,01/08/2018,,31/08/2018,,,False
Examen 21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,19/06/2018,16:00,19/06/2018,20:00,,False
Examen 21714 - Informàtica Gràfica / 01G,11/06/2018,16:00,11/06/2018,20:00,,False
Examen 20395 - English for Engineering / 01G,20/06/2018,09:00,20/06/2018,13:00,,False
Examen 21730 - Processos i Qualitat de Software / 01G,11/06/2018,09:00,11/06/2018,13:00,,False
Examen 20395 - English for Engineering / 01G,02/07/2018,16:00,02/07/2018,20:00,,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,03/05/2018,18:30,03/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,17/05/2018,18:30,17/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01M01,02/05/2018,18:30,02/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
Examen 21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,06/07/2018,09:00,06/07/2018,13:00,,False
21714 - Informàtica Gràfica / 01M01,16/05/2018,18:30,16/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,03/05/2018,17:30,03/05/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,02/05/2018,17:30,02/05/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,30/04/2018,17:30,30/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
20395 - English for Engineering / 01M01,02/05/2018,11:30,02/05/2018,12:30,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,19/04/2018,18:30,19/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,03/05/2018,15:30,03/05/2018,16:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01M01,03/05/2018,16:30,03/05/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,26/04/2018,18:30,26/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21721 - Llenguatges de Programació / 01X02,03/05/2018,12:30,03/05/2018,14:20,Anselm Turmeda Aula Informàtica 2ª planta,False
21714 - Informàtica Gràfica / 01M01,28/03/2018,18:30,28/03/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,28/03/2018,17:30,28/03/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,26/03/2018,17:30,26/03/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,27/03/2018,15:30,27/03/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
Vacances de Setmana Santa,29/03/2018,,06/04/2018,,,False
20395 - English for Engineering / 01M01,28/03/2018,11:30,28/03/2018,12:30,Anselm Turmeda Aula A8.Planta primera ala est,False
20395 - English for Engineering / 01G,28/03/2018,08:30,28/03/2018,11:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21721 - Llenguatges de Programació / 01G,27/03/2018,08:30,27/03/2018,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,27/03/2018,17:30,27/03/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,12/04/2018,17:30,12/04/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,11/04/2018,17:30,11/04/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01M01,11/04/2018,18:30,11/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,12/04/2018,18:30,12/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,10/04/2018,17:30,10/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,09/04/2018,17:30,09/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,12/04/2018,15:30,12/04/2018,16:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01M01,12/04/2018,16:30,12/04/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
20395 - English for Engineering / 01G,11/04/2018,08:30,11/04/2018,11:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21721 - Llenguatges de Programació / 01X02,12/04/2018,12:30,12/04/2018,14:20,Anselm Turmeda Aula Informàtica 2ª planta,False
21730 - Processos i Qualitat de Software / 01G,10/04/2018,15:30,10/04/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
Vacances de Setmana Santa,29/03/2018,,06/04/2018,,,False
20395 - English for Engineering / 01M01,11/04/2018,11:30,11/04/2018,12:30,Anselm Turmeda Aula A8.Planta primera ala est,False
21714 - Informàtica Gràfica / 01M01,18/04/2018,18:30,18/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21721 - Llenguatges de Programació / 01G,10/04/2018,08:30,10/04/2018,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,19/04/2018,17:30,19/04/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,17/04/2018,17:30,17/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,19/04/2018,15:30,19/04/2018,16:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01M01,19/04/2018,16:30,19/04/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,16/04/2018,17:30,16/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,18/04/2018,17:30,18/04/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21721 - Llenguatges de Programació / 01X02,19/04/2018,12:30,19/04/2018,14:20,Anselm Turmeda Aula Informàtica 2ª planta,False
20395 - English for Engineering / 01M01,18/04/2018,11:30,18/04/2018,12:30,Anselm Turmeda Aula A8.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,17/04/2018,15:30,17/04/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
20395 - English for Engineering / 01G,18/04/2018,08:30,18/04/2018,11:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,26/04/2018,17:30,26/04/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,25/04/2018,17:30,25/04/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21721 - Llenguatges de Programació / 01G,17/04/2018,08:30,17/04/2018,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,24/04/2018,17:30,24/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01M01,26/04/2018,16:30,26/04/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01M01,25/04/2018,18:30,25/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,23/04/2018,17:30,23/04/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,26/04/2018,15:30,26/04/2018,16:20,Anselm Turmeda Aula A5.Planta primera ala est,False
20395 - English for Engineering / 01G,25/04/2018,08:30,25/04/2018,11:20,Anselm Turmeda Aula A8.Planta primera ala est,False
20395 - English for Engineering / 01M01,25/04/2018,11:30,25/04/2018,12:30,Anselm Turmeda Aula A8.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,24/04/2018,15:30,24/04/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
Festa del treball,01/05/2018,,,,,True
21721 - Llenguatges de Programació / 01G,24/04/2018,08:30,24/04/2018,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21721 - Llenguatges de Programació / 01X02,26/04/2018,12:30,26/04/2018,14:20,Anselm Turmeda Aula Informàtica 2ª planta,False
20395 - English for Engineering / 01G,02/05/2018,08:30,02/05/2018,11:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,10/05/2018,18:30,10/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01M01,09/05/2018,18:30,09/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,10/05/2018,17:30,10/05/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,09/05/2018,17:30,09/05/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01M01,10/05/2018,16:30,10/05/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,07/05/2018,17:30,07/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,08/05/2018,17:30,08/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,10/05/2018,15:30,10/05/2018,16:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21730 - Processos i Qualitat de Software / 01G,08/05/2018,15:30,08/05/2018,17:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21721 - Llenguatges de Programació / 01X02,10/05/2018,12:30,10/05/2018,14:20,Anselm Turmeda Aula Informàtica 2ª planta,False
20395 - English for Engineering / 01M01,09/05/2018,11:30,09/05/2018,12:30,Anselm Turmeda Aula A8.Planta primera ala est,False
21721 - Llenguatges de Programació / 01G,08/05/2018,08:30,08/05/2018,10:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21714 - Informàtica Gràfica / 01M01,23/05/2018,18:30,23/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,24/05/2018,17:30,24/05/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
20395 - English for Engineering / 01G,09/05/2018,08:30,09/05/2018,11:20,Anselm Turmeda Aula A8.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01M01,24/05/2018,18:30,24/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21714 - Informàtica Gràfica / 01G,23/05/2018,17:30,23/05/2018,18:20,Anselm Turmeda Aula A5.Planta primera ala est,False
21749 - Gestió Estratègica de Sistemes d'Informació Empresarials / 01G,22/05/2018,17:30,22/05/2018,19:20,Anselm Turmeda Aula A5.Planta primera ala est,False
